"Idõszak";"Terület";"Halálos közúti közlekedési baleset (eset)";"Súlyos sérüléses közúti közlekedési baleset (eset)";"Könnyû sérüléses közúti közlekedési baleset (eset)";"Összes személyi sérüléssel járó közúti közlekedési baleset (eset)";"Lakott területen történt összes közúti közlekedési baleset (eset)";"Lakott területen kívül történt összes közúti közlekedési baleset (eset)";"Az ittasan okozott balesetek száma (eset)";"Jármûvek okozta összes baleset száma (eset)";"Motorkerékpár és segédmotoros kerékpár által okozott balesetek száma (eset)";"Személygépkocsi által okozott balesetek száma (eset)";"Tehergépkocsi által okozott balesetek száma (eset)";"Kerékpár által okozott balesetek száma (eset)";"Gyalogos okozta balesetek száma (eset)";"Autóbusz által okozott balesetek száma (eset)";"A jármûvezetõk által ittasan okozott balesetek száma (eset)";"Közúti közlekedési baleset során meghalt személy (fõ)";"Közúti közlekedési baleset során súlyosan sérült személy (fõ)";"Közúti közlekedési baleset során könnyen sérült személy (fõ)";"Közúti közlekedési baleset során meghalt, megsérült személy összesen (fõ)";"Közúti közlekedési baleset során meghalt  6 év alatti személy (fõ)";"Közúti közlekedési baleset során meghalt  6 - 14 éves személy (fõ)";"Közúti közlekedési baleset során meghalt 15 - 17 éves személy (fõ)";"Közúti közlekedési baleset során meghalt 18 - 20 éves személy (fõ)";"Közúti közlekedési baleset során meghalt 21 - 40 éves személy (fõ)";"Közúti közlekedési baleset során meghalt 41 - 64 éves személy (fõ)";"Közúti közlekedési baleset során meghalt 65 éves és idõsebb, és ismeretlen korú személy (fõ)";"Borvidékek, 2019";"Agglomeráción belüli települések besorolása, 2003";"Statisztikai nagyrégió";"Agglomeráció típusa, 2003";"Járások";"Agglomerációk, 2003";"Megyék - általános területi beosztás";"Települések jogállása - összevont verzió, 1994";"Kedvezményezett települések  kódjának nómenklatúrája";"Borrégiók, 2019";"Kedvezményezett járások kódjának nómenklatúrája";"Turisztikai régiók";"Települések";"Tervezési statisztikai régiók";"Világörökségi helyszín védõövezete";"Szabad vállalkozási zónák";"Az EU NUTS rendszere 2016";"Területfejlesztési szempontból kiemelt térségek";"Települések megyeszékhely jellege, 1991";"Járási székhely";"Települések lakónépesség-nagyságkategóriái";"Települések jogállása - bõvített verzió, 2005";"Nemzeti parkok";
"";"Jásztelek";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"9992 - A település nem tartozik borvidékbe - Alföld";"9 - Településegyüttesbe nem tartozó település";"3 - Alföld és Észak";"9 - Településegyüttesbe nem tartozó települések";"162 - Jászberényi járás";"999 - Településegyüttesbe nem tartozó települések";"16 - Jász-Nagykun-Szolnok megye";"4 - Község";"9 - Nem kedvezményezett település";"9 - Nem tartozik borrégióhoz";"1 - Kedvezményezett járások";"03 - Észak-Alföldi Régió";"2313 - Jásztelek";"60 - Észak-Alföld (Hajdú-Bihar, Jász-Nagykun-Szolnok, Szabolcs-Szatmár-Bereg)";"99 - Nem világörökségi helyszín védõövezete";"9 - Nem szabad vállakozási zóna";"HU322 - Jász-Nagykun-Szolnok";"9 - Nem tartozik területfejlesztési szempontból kiemelt térséghez";"2 - Nem megyeszékhely";"0 - Nem székhelytelepülés";"03 - 1000 - 1999";"42 - Község";"99 - Nem tartozik nemzeti parkhoz";
"";"Pusztamonostor";"1";" ";" ";"1";"1";" ";" ";"1";" ";" ";" ";" ";" ";" ";" ";"1";" ";" ";"1";" ";" ";" ";" ";" ";" ";" ";"9992 - A település nem tartozik borvidékbe - Alföld";"9 - Településegyüttesbe nem tartozó település";"3 - Alföld és Észak";"9 - Településegyüttesbe nem tartozó települések";"162 - Jászberényi járás";"999 - Településegyüttesbe nem tartozó települések";"16 - Jász-Nagykun-Szolnok megye";"4 - Község";"9 - Nem kedvezményezett település";"9 - Nem tartozik borrégióhoz";"1 - Kedvezményezett járások";"03 - Észak-Alföldi Régió";"1524 - Pusztamonostor";"60 - Észak-Alföld (Hajdú-Bihar, Jász-Nagykun-Szolnok, Szabolcs-Szatmár-Bereg)";"99 - Nem világörökségi helyszín védõövezete";"9 - Nem szabad vállakozási zóna";"HU322 - Jász-Nagykun-Szolnok";"9 - Nem tartozik területfejlesztési szempontból kiemelt térséghez";"2 - Nem megyeszékhely";"0 - Nem székhelytelepülés";"03 - 1000 - 1999";"42 - Község";"99 - Nem tartozik nemzeti parkhoz";
"";"Karcagi járás";"3";"14";"64";"81";"61";"20";"5";"77";"9";"47";"4";"12";"4";" ";"5,0";"3";"19";"81";"103";" ";" ";" ";" ";" ";" ";" ";
"";"Berekfürdõ";" ";" ";"1";"1";"1";" ";" ";"1";" ";"1";" ";" ";" ";" ";" ";" ";" ";"1";"1";" ";" ";" ";" ";" ";" ";" ";"9992 - A település nem tartozik borvidékbe - Alföld";"9 - Településegyüttesbe nem tartozó település";"3 - Alföld és Észak";"9 - Településegyüttesbe nem tartozó települések";"163 - Karcagi járás";"999 - Településegyüttesbe nem tartozó települések";"16 - Jász-Nagykun-Szolnok megye";"4 - Község";"9 - Nem kedvezményezett település";"9 - Nem tartozik borrégióhoz";"2 - Fejlesztendõ járások";"04 - Tisza-tavi Régió";"3400 - Berekfürdõ";"60 - Észak-Alföld (Hajdú-Bihar, Jász-Nagykun-Szolnok, Szabolcs-Szatmár-Bereg)";"99 - Nem világörökségi helyszín védõövezete";"1 - Szabad vállakozási zóna";"HU322 - Jász-Nagykun-Szolnok";"9 - Nem tartozik területfejlesztési szempontból kiemelt térséghez";"2 - Nem megyeszékhely";"0 - Nem székhelytelepülés";"02 - 500 - 999";"42 - Község";"99 - Nem tartozik nemzeti parkhoz";
"";"Karcag";"2";"8";"33";"43";"36";"7";"2";"40";"6";"22";"2";"7";"3";" ";"2,0";"2";"11";"44";"57";" ";" ";" ";" ";" ";" ";" ";"9992 - A település nem tartozik borvidékbe - Alföld";"9 - Településegyüttesbe nem tartozó település";"3 - Alföld és Észak";"9 - Településegyüttesbe nem tartozó települések";"163 - Karcagi járás";"999 - Településegyüttesbe nem tartozó települések";"16 - Jász-Nagykun-Szolnok megye";"3 - Város";"2 - Jelentõs munkanélküliséggel sújtott települések";"9 - Nem tartozik borrégióhoz";"2 - Fejlesztendõ járások";"04 - Tisza-tavi Régió";"0492 - Karcag";"60 - Észak-Alföld (Hajdú-Bihar, Jász-Nagykun-Szolnok, Szabolcs-Szatmár-Bereg)";"99 - Nem világörökségi helyszín védõövezete";"1 - Szabad vállakozási zóna";"HU322 - Jász-Nagykun-Szolnok";"9 - Nem tartozik területfejlesztési szempontból kiemelt térséghez";"2 - Nem megyeszékhely";"1 - Székhelytelepülés";"06 - 10000 - 19999";"30 - Város";"07 - Hortobágyi Nemzeti Park";
"";"Kenderes";" ";" ";"6";"6";"4";"2";" ";"6";"1";"3";"2";" ";" ";" ";" ";" ";" ";"7";"7";" ";" ";" ";" ";" ";" ";" ";"9992 - A település nem tartozik borvidékbe - Alföld";"9 - Településegyüttesbe nem tartozó település";"3 - Alföld és Észak";"9 - Településegyüttesbe nem tartozó települések";"163 - Karcagi járás";"999 - Településegyüttesbe nem tartozó települések";"16 - Jász-Nagykun-Szolnok megye";"3 - Város";"9 - Nem kedvezményezett település";"9 - Nem tartozik borrégióhoz";"2 - Fejlesztendõ járások";"03 - Észak-Alföldi Régió";"1714 - Kenderes";"60 - Észak-Alföld (Hajdú-Bihar, Jász-Nagykun-Szolnok, Szabolcs-Szatmár-Bereg)";"99 - Nem világörökségi helyszín védõövezete";"1 - Szabad vállakozási zóna";"HU322 - Jász-Nagykun-Szolnok";"9 - Nem tartozik területfejlesztési szempontból kiemelt térséghez";"2 - Nem megyeszékhely";"0 - Nem székhelytelepülés";"04 - 2000 - 4999";"30 - Város";"99 - Nem tartozik nemzeti parkhoz";
"";"Kisújszállás";"1";"3";"13";"17";"10";"7";"1";"17";"1";"13";" ";"3";" ";" ";"1,0";"1";"3";"16";"20";" ";" ";" ";" ";" ";" ";" ";"9992 - A település nem tartozik borvidékbe - Alföld";"9 - Településegyüttesbe nem tartozó település";"3 - Alföld és Észak";"9 - Településegyüttesbe nem tartozó települések";"163 - Karcagi járás";"999 - Településegyüttesbe nem tartozó települések";"16 - Jász-Nagykun-Szolnok megye";"3 - Város";"9 - Nem kedvezményezett település";"9 - Nem tartozik borrégióhoz";"2 - Fejlesztendõ járások";"03 - Észak-Alföldi Régió";"2591 - Kisújszállás";"60 - Észak-Alföld (Hajdú-Bihar, Jász-Nagykun-Szolnok, Szabolcs-Szatmár-Bereg)";"99 - Nem világörökségi helyszín védõövezete";"1 - Szabad vállakozási zóna";"HU322 - Jász-Nagykun-Szolnok";"9 - Nem tartozik területfejlesztési szempontból kiemelt térséghez";"2 - Nem megyeszékhely";"0 - Nem székhelytelepülés";"06 - 10000 - 19999";"30 - Város";"09 - Körös-Maros Nemzeti Park";
"";"Kunmadaras";" ";"3";"11";"14";"10";"4";"2";"13";"1";"8";" ";"2";"1";" ";"2,0";" ";"5";"13";"18";" ";" ";" ";" ";" ";" ";" ";"9992 - A település nem tartozik borvidékbe - Alföld";"9 - Településegyüttesbe nem tartozó település";"3 - Alföld és Észak";"9 - Településegyüttesbe nem tartozó települések";"163 - Karcagi járás";"999 - Településegyüttesbe nem tartozó települések";"16 - Jász-Nagykun-Szolnok megye";"4 - Község";"3 - Társadalmi-gazdasági és infrastrukturális szempontból kedvezményezett és a j...";"9 - Nem tartozik borrégióhoz";"2 - Fejlesztendõ járások";"04 - Tisza-tavi Régió";"2317 - Kunmadaras";"60 - Észak-Alföld (Hajdú-Bihar, Jász-Nagykun-Szolnok, Szabolcs-Szatmár-Bereg)";"99 - Nem világörökségi helyszín védõövezete";"1 - Szabad vállakozási zóna";"HU322 - Jász-Nagykun-Szolnok";"9 - Nem tartozik területfejlesztési szempontból kiemelt térséghez";"2 - Nem megyeszékhely";"0 - Nem székhelytelepülés";"05 - 5000 - 9999";"41 - Nagyközség";"07 - Hortobágyi Nemzeti Park";
"";"Kunhegyesi járás";"1";"3";"21";"25";"16";"9";"4";"23";"5";"14";"1";"1";"1";" ";"4,0";"1";"3";"24";"28";" ";" ";" ";" ";" ";" ";" ";
"";"Abádszalók";"1";" ";"4";"5";"3";"2";"1";"5";"1";"2";" ";"1";" ";" ";"1,0";"1";" ";"4";"5";" ";" ";" ";" ";" ";" ";" ";"9992 - A település nem tartozik borvidékbe - Alföld";"9 - Településegyüttesbe nem tartozó település";"3 - Alföld és Észak";"9 - Településegyüttesbe nem tartozó települések";"164 - Kunhegyesi járás";"999 - Településegyüttesbe nem tartozó települések";"16 - Jász-Nagykun-Szolnok megye";"3 - Város";"9 - Nem kedvezményezett település";"9 - Nem tartozik borrégióhoz";"3 - Komplex programmal fejlesztendõ járások";"04 - Tisza-tavi Régió";"1244 - Abádszalók";"60 - Észak-Alföld (Hajdú-Bihar, Jász-Nagykun-Szolnok, Szabolcs-Szatmár-Bereg)";"99 - Nem világörökségi helyszín védõövezete";"1 - Szabad vállakozási zóna";"HU322 - Jász-Nagykun-Szolnok";"9 - Nem tartozik területfejlesztési szempontból kiemelt térséghez";"2 - Nem megyeszékhely";"0 - Nem székhelytelepülés";"04 - 2000 - 4999";"30 - Város";"99 - Nem tartozik nemzeti parkhoz";
"";"Kunhegyes";" ";" ";"9";"9";"6";"3";" ";"9";"3";"4";"1";" ";" ";" ";" ";" ";" ";"11";"11";" ";" ";" ";" ";" ";" ";" ";"9992 - A település nem tartozik borvidékbe - Alföld";"9 - Településegyüttesbe nem tartozó település";"3 - Alföld és Észak";"9 - Településegyüttesbe nem tartozó települések";"164 - Kunhegyesi járás";"999 - Településegyüttesbe nem tartozó települések";"16 - Jász-Nagykun-Szolnok megye";"3 - Város";"2 - Jelentõs munkanélküliséggel sújtott települések";"9 - Nem tartozik borrégióhoz";"3 - Komplex programmal fejlesztendõ járások";"04 - Tisza-tavi Régió";"2256 - Kunhegyes";"60 - Észak-Alföld (Hajdú-Bihar, Jász-Nagykun-Szolnok, Szabolcs-Szatmár-Bereg)";"99 - Nem világörökségi helyszín védõövezete";"1 - Szabad vállakozási zóna";"HU322 - Jász-Nagykun-Szolnok";"9 - Nem tartozik területfejlesztési szempontból kiemelt térséghez";"2 - Nem megyeszékhely";"1 - Székhelytelepülés";"05 - 5000 - 9999";"30 - Város";"99 - Nem tartozik nemzeti parkhoz";
"";"Tiszabõ";" ";"2";" ";"2";"2";" ";" ";"2";" ";"2";" ";" ";" ";" ";" ";" ";"2";" ";"2";" ";" ";" ";" ";" ";" ";" ";"9992 - A település nem tartozik borvidékbe - Alföld";"9 - Településegyüttesbe nem tartozó település";"3 - Alföld és Észak";"9 - Településegyüttesbe nem tartozó települések";"164 - Kunhegyesi járás";"999 - Településegyüttesbe nem tartozó települések";"16 - Jász-Nagykun-Szolnok megye";"4 - Község";"1 - Társadalmi-gazdasági és infrastrukturális szempontból kedvezményezett telepü...";"9 - Nem tartozik borrégióhoz";"3 - Komplex programmal fejlesztendõ járások";"04 - Tisza-tavi Régió";"1077 - Tiszabõ";"60 - Észak-Alföld (Hajdú-Bihar, Jász-Nagykun-Szolnok, Szabolcs-Szatmár-Bereg)";"99 - Nem világörökségi helyszín védõövezete";"1 - Szabad vállakozási zóna";"HU322 - Jász-Nagykun-Szolnok";"9 - Nem tartozik területfejlesztési szempontból kiemelt térséghez";"2 - Nem megyeszékhely";"0 - Nem székhelytelepülés";"04 - 2000 - 4999";"42 - Község";"99 - Nem tartozik nemzeti parkhoz";
"";"Tiszabura";" ";" ";"3";"3";"3";" ";" ";"1";" ";"1";" ";" ";"1";" ";" ";" ";" ";"3";"3";" ";" ";" ";" ";" ";" ";" ";"9992 - A település nem tartozik borvidékbe - Alföld";"9 - Településegyüttesbe nem tartozó település";"3 - Alföld és Észak";"9 - Településegyüttesbe nem tartozó települések";"164 - Kunhegyesi járás";"999 - Településegyüttesbe nem tartozó települések";"16 - Jász-Nagykun-Szolnok megye";"4 - Község";"3 - Társadalmi-gazdasági és infrastrukturális szempontból kedvezményezett és a j...";"9 - Nem tartozik borrégióhoz";"3 - Komplex programmal fejlesztendõ járások";"04 - Tisza-tavi Régió";"2277 - Tiszabura";"60 - Észak-Alföld (Hajdú-Bihar, Jász-Nagykun-Szolnok, Szabolcs-Szatmár-Bereg)";"99 - Nem világörökségi helyszín védõövezete";"1 - Szabad vállakozási zóna";"HU322 - Jász-Nagykun-Szolnok";"9 - Nem tartozik területfejlesztési szempontból kiemelt térséghez";"2 - Nem megyeszékhely";"0 - Nem székhelytelepülés";"04 - 2000 - 4999";"42 - Község";"99 - Nem tartozik nemzeti parkhoz";
"";"Tiszagyenda";" ";" ";"2";"2";" ";"2";"1";"2";" ";"2";" ";" ";" ";" ";"1,0";" ";" ";"2";"2";" ";" ";" ";" ";" ";" ";" ";"9992 - A település nem tartozik borvidékbe - Alföld";"9 - Településegyüttesbe nem tartozó település";"3 - Alföld és Észak";"9 - Településegyüttesbe nem tartozó települések";"164 - Kunhegyesi járás";"999 - Településegyüttesbe nem tartozó települések";"16 - Jász-Nagykun-Szolnok megye";"4 - Község";"1 - Társadalmi-gazdasági és infrastrukturális szempontból kedvezményezett telepü...";"9 - Nem tartozik borrégióhoz";"3 - Komplex programmal fejlesztendõ járások";"04 - Tisza-tavi Régió";"3030 - Tiszagyenda";"60 - Észak-Alföld (Hajdú-Bihar, Jász-Nagykun-Szolnok, Szabolcs-Szatmár-Bereg)";"99 - Nem világörökségi helyszín védõövezete";"1 - Szabad vállakozási zóna";"HU322 - Jász-Nagykun-Szolnok";"9 - Nem tartozik területfejlesztési szempontból kiemelt térséghez";"2 - Nem megyeszékhely";"0 - Nem székhelytelepülés";"02 - 500 - 999";"42 - Község";"99 - Nem tartozik nemzeti parkhoz";
"";"Tiszaroff";" ";"1";"3";"4";"2";"2";"2";"4";"1";"3";" ";" ";" ";" ";"2,0";" ";"1";"4";"5";" ";" ";" ";" ";" ";" ";" ";"9992 - A település nem tartozik borvidékbe - Alföld";"9 - Településegyüttesbe nem tartozó település";"3 - Alföld és Észak";"9 - Településegyüttesbe nem tartozó települések";"164 - Kunhegyesi járás";"999 - Településegyüttesbe nem tartozó települések";"16 - Jász-Nagykun-Szolnok megye";"4 - Község";"3 - Társadalmi-gazdasági és infrastrukturális szempontból kedvezményezett és a j...";"9 - Nem tartozik borrégióhoz";"3 - Komplex programmal fejlesztendõ járások";"04 - Tisza-tavi Régió";"2018 - Tiszaroff";"60 - Észak-Alföld (Hajdú-Bihar, Jász-Nagykun-Szolnok, Szabolcs-Szatmár-Bereg)";"99 - Nem világörökségi helyszín védõövezete";"1 - Szabad vállakozási zóna";"HU322 - Jász-Nagykun-Szolnok";"9 - Nem tartozik területfejlesztési szempontból kiemelt térséghez";"2 - Nem megyeszékhely";"0 - Nem székhelytelepülés";"03 - 1000 - 1999";"42 - Község";"99 - Nem tartozik nemzeti parkhoz";
"";"Tomajmonostora";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"9992 - A település nem tartozik borvidékbe - Alföld";"9 - Településegyüttesbe nem tartozó település";"3 - Alföld és Észak";"9 - Településegyüttesbe nem tartozó települések";"164 - Kunhegyesi járás";"999 - Településegyüttesbe nem tartozó települések";"16 - Jász-Nagykun-Szolnok megye";"4 - Község";"1 - Társadalmi-gazdasági és infrastrukturális szempontból kedvezményezett telepü...";"9 - Nem tartozik borrégióhoz";"3 - Komplex programmal fejlesztendõ járások";"04 - Tisza-tavi Régió";"0955 - Tomajmonostora";"60 - Észak-Alföld (Hajdú-Bihar, Jász-Nagykun-Szolnok, Szabolcs-Szatmár-Bereg)";"99 - Nem világörökségi helyszín védõövezete";"1 - Szabad vállakozási zóna";"HU322 - Jász-Nagykun-Szolnok";"9 - Nem tartozik területfejlesztési szempontból kiemelt térséghez";"2 - Nem megyeszékhely";"0 - Nem székhelytelepülés";"02 - 500 - 999";"42 - Község";"99 - Nem tartozik nemzeti parkhoz";
"";"Kunszentmártoni járás";"6";"19";"35";"60";"28";"32";"7";"58";"7";"36";"7";"4";"1";" ";"7,0";"6";"22";"58";"86";" ";" ";" ";" ";" ";" ";" ";
"";"Cibakháza";" ";"2";"3";"5";"3";"2";"2";"4";" ";"2";"1";"1";" ";" ";"2,0";" ";"2";"4";"6";" ";" ";" ";" ";" ";" ";" ";"1600 - Kunsági borvidék";"9 - Településegyüttesbe nem tartozó település";"3 - Alföld és Észak";"9 - Településegyüttesbe nem tartozó települések";"165 - Kunszentmártoni járás";"999 - Településegyüttesbe nem tartozó települések";"16 - Jász-Nagykun-Szolnok megye";"4 - Község";"3 - Társadalmi-gazdasági és infrastrukturális szempontból kedvezményezett és a j...";"9 - Nem tartozik borrégióhoz";"2 - Fejlesztendõ járások";"03 - Észak-Alföldi Régió";"2293 - Cibakháza";"60 - Észak-Alföld (Hajdú-Bihar, Jász-Nagykun-Szolnok, Szabolcs-Szatmár-Bereg)";"99 - Nem világörökségi helyszín védõövezete";"1 - Szabad vállakozási zóna";"HU322 - Jász-Nagykun-Szolnok";"9 - Nem tartozik területfejlesztési szempontból kiemelt térséghez";"2 - Nem megyeszékhely";"0 - Nem székhelytelepülés";"04 - 2000 - 4999";"41 - Nagyközség";"99 - Nem tartozik nemzeti parkhoz";
"";"Csépa";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"1600 - Kunsági borvidék";"9 - Településegyüttesbe nem tartozó település";"3 - Alföld és Észak";"9 - Településegyüttesbe nem tartozó települések";"165 - Kunszentmártoni járás";"999 - Településegyüttesbe nem tartozó települések";"16 - Jász-Nagykun-Szolnok megye";"4 - Község";"3 - Társadalmi-gazdasági és infrastrukturális szempontból kedvezményezett és a j...";"9 - Nem tartozik borrégióhoz";"2 - Fejlesztendõ járások";"03 - Észak-Alföldi Régió";"1317 - Csépa";"60 - Észak-Alföld (Hajdú-Bihar, Jász-Nagykun-Szolnok, Szabolcs-Szatmár-Bereg)";"99 - Nem világörökségi helyszín védõövezete";"1 - Szabad vállakozási zóna";"HU322 - Jász-Nagykun-Szolnok";"9 - Nem tartozik területfejlesztési szempontból kiemelt térséghez";"2 - Nem megyeszékhely";"0 - Nem székhelytelepülés";"03 - 1000 - 1999";"42 - Község";"99 - Nem tartozik nemzeti parkhoz";
"";"Cserkeszõlõ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"1600 - Kunsági borvidék";"9 - Településegyüttesbe nem tartozó település";"3 - Alföld és Észak";"9 - Településegyüttesbe nem tartozó települések";"165 - Kunszentmártoni járás";"999 - Településegyüttesbe nem tartozó települések";"16 - Jász-Nagykun-Szolnok megye";"4 - Község";"9 - Nem kedvezményezett település";"9 - Nem tartozik borrégióhoz";"2 - Fejlesztendõ járások";"03 - Észak-Alföldi Régió";"0579 - Cserkeszõlõ";"60 - Észak-Alföld (Hajdú-Bihar, Jász-Nagykun-Szolnok, Szabolcs-Szatmár-Bereg)";"99 - Nem világörökségi helyszín védõövezete";"1 - Szabad vállakozási zóna";"HU322 - Jász-Nagykun-Szolnok";"9 - Nem tartozik területfejlesztési szempontból kiemelt térséghez";"2 - Nem megyeszékhely";"0 - Nem székhelytelepülés";"04 - 2000 - 4999";"42 - Község";"99 - Nem tartozik nemzeti parkhoz";
"";"Kunszentmárton";"2";"2";"9";"13";"4";"9";" ";"13";"1";"5";"4";" ";" ";" ";" ";"2";"3";"17";"22";" ";" ";" ";" ";" ";" ";" ";"9992 - A település nem tartozik borvidékbe - Alföld";"9 - Településegyüttesbe nem tartozó település";"3 - Alföld és Észak";"9 - Településegyüttesbe nem tartozó települések";"165 - Kunszentmártoni járás";"999 - Településegyüttesbe nem tartozó települések";"16 - Jász-Nagykun-Szolnok megye";"3 - Város";"2 - Jelentõs munkanélküliséggel sújtott települések";"9 - Nem tartozik borrégióhoz";"2 - Fejlesztendõ járások";"03 - Észak-Alföldi Régió";"3250 - Kunszentmárton";"60 - Észak-Alföld (Hajdú-Bihar, Jász-Nagykun-Szolnok, Szabolcs-Szatmár-Bereg)";"99 - Nem világörökségi helyszín védõövezete";"1 - Szabad vállakozási zóna";"HU322 - Jász-Nagykun-Szolnok";"9 - Nem tartozik területfejlesztési szempontból kiemelt térséghez";"2 - Nem megyeszékhely";"1 - Székhelytelepülés";"05 - 5000 - 9999";"30 - Város";"09 - Körös-Maros Nemzeti Park";
"";"Nagyrév";"1";"1";" ";"2";" ";"2";" ";"2";" ";"2";" ";" ";" ";" ";" ";"1";"1";" ";"2";" ";" ";" ";" ";" ";" ";" ";"1600 - Kunsági borvidék";"9 - Településegyüttesbe nem tartozó település";"3 - Alföld és Észak";"9 - Településegyüttesbe nem tartozó települések";"165 - Kunszentmártoni járás";"999 - Településegyüttesbe nem tartozó települések";"16 - Jász-Nagykun-Szolnok megye";"4 - Község";"3 - Társadalmi-gazdasági és infrastrukturális szempontból kedvezményezett és a j...";"9 - Nem tartozik borrégióhoz";"2 - Fejlesztendõ járások";"03 - Észak-Alföldi Régió";"0631 - Nagyrév";"60 - Észak-Alföld (Hajdú-Bihar, Jász-Nagykun-Szolnok, Szabolcs-Szatmár-Bereg)";"99 - Nem világörökségi helyszín védõövezete";"1 - Szabad vállakozási zóna";"HU322 - Jász-Nagykun-Szolnok";"9 - Nem tartozik területfejlesztési szempontból kiemelt térséghez";"2 - Nem megyeszékhely";"0 - Nem székhelytelepülés";"02 - 500 - 999";"42 - Község";"99 - Nem tartozik nemzeti parkhoz";
"";"Öcsöd";" ";"6";"4";"10";"5";"5";"2";"10";"1";"9";" ";" ";" ";" ";"2,0";" ";"8";"15";"23";" ";" ";" ";" ";" ";" ";" ";"9992 - A település nem tartozik borvidékbe - Alföld";"9 - Településegyüttesbe nem tartozó település";"3 - Alföld és Észak";"9 - Településegyüttesbe nem tartozó települések";"165 - Kunszentmártoni járás";"999 - Településegyüttesbe nem tartozó települések";"16 - Jász-Nagykun-Szolnok megye";"4 - Község";"1 - Társadalmi-gazdasági és infrastrukturális szempontból kedvezményezett telepü...";"9 - Nem tartozik borrégióhoz";"2 - Fejlesztendõ járások";"03 - Észak-Alföldi Régió";"2800 - Öcsöd";"60 - Észak-Alföld (Hajdú-Bihar, Jász-Nagykun-Szolnok, Szabolcs-Szatmár-Bereg)";"99 - Nem világörökségi helyszín védõövezete";"1 - Szabad vállakozási zóna";"HU322 - Jász-Nagykun-Szolnok";"9 - Nem tartozik területfejlesztési szempontból kiemelt térséghez";"2 - Nem megyeszékhely";"0 - Nem székhelytelepülés";"04 - 2000 - 4999";"41 - Nagyközség";"09 - Körös-Maros Nemzeti Park";
